"Type","Theme","File","Name","Color","Legend","Labels","Unit","Visible","Provenance"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000344 rcp45 2071-2100.tif","Tree future: American Smoketree","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000363 rcp45 2071-2100.tif","Tree future: Fireberry Hawthorn","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000368 rcp45 2071-2100.tif","Tree future: Douglas' Hawthorn","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000385 rcp45 2071-2100.tif","Tree future: Fleshy Hawthorn","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000425 rcp45 2071-2100.tif","Tree future: American persimmon","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000450 rcp45 2071-2100.tif","Tree future: Eastern Burning Bush","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000468 rcp45 2071-2100.tif","Tree future: American Beech","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000486 rcp45 2071-2100.tif","Tree future: White Ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000490 rcp45 2071-2100.tif","Tree future: Oregon Ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000491 rcp45 2071-2100.tif","Tree future: Black Ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000494 rcp45 2071-2100.tif","Tree future: Green Ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000497 rcp45 2071-2100.tif","Tree future: Pumpkin Ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000498 rcp45 2071-2100.tif","Tree future: Blue Ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000513 rcp45 2071-2100.tif","Tree future: Kentucky Coffeetree","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000514 rcp45 2071-2100.tif","Tree future: Carolina silverbell","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000524 rcp45 2071-2100.tif","Tree future: American Witchhazel","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000559 rcp45 2071-2100.tif","Tree future: Deciduous Holly","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000568 rcp45 2071-2100.tif","Tree future: American Holly","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000574 rcp45 2071-2100.tif","Tree future: Winterberry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000591 rcp45 2071-2100.tif","Tree future: Butternut","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000592 rcp45 2071-2100.tif","Tree future: Black Walnut","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000596 rcp45 2071-2100.tif","Tree future: Common Juniper","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000600 rcp45 2071-2100.tif","Tree future: Creeping Juniper","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000605 rcp45 2071-2100.tif","Tree future: Rocky Mountain Juniper","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000608 rcp45 2071-2100.tif","Tree future: Eastern Red Cedar","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000612 rcp45 2071-2100.tif","Tree future: Mountain Laurel","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000632 rcp45 2071-2100.tif","Tree future: Eastern Larch","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000633 rcp45 2071-2100.tif","Tree future: Subalpine Larch","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000634 rcp45 2071-2100.tif","Tree future: Western Larch","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000639 rcp45 2071-2100.tif","Tree future: Florida Corkwood","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000662 rcp45 2071-2100.tif","Tree future: Sweetgum","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000696 rcp45 2071-2100.tif","Tree future: Cucumber Tree","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000699 rcp45 2071-2100.tif","Tree future: Southern Magnolia","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000704 rcp45 2071-2100.tif","Tree future: Bigleaf Magnolia","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000709 rcp45 2071-2100.tif","Tree future: Umbrella Magnolia","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000724 rcp45 2071-2100.tif","Tree future: Wild Crab Apple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000726 rcp45 2071-2100.tif","Tree future: Pacific Crab Apple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000727 rcp45 2071-2100.tif","Tree future: Prairie Crab Apple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000741 rcp45 2071-2100.tif","Tree future: Red Mulberry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000755 rcp45 2071-2100.tif","Tree future: Black Tupelo","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000761 rcp45 2071-2100.tif","Tree future: Ironwood","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000762 rcp45 2071-2100.tif","Tree future: Sorrel Tree","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000792 rcp45 2071-2100.tif","Tree future: Brewer Spruce","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000793 rcp45 2071-2100.tif","Tree future: Engelmann Spruce","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000794 rcp45 2071-2100.tif","Tree future: White Spruce","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000796 rcp45 2071-2100.tif","Tree future: Black Spruce","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000799 rcp45 2071-2100.tif","Tree future: Blue Spruce","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000801 rcp45 2071-2100.tif","Tree future: Red Spruce","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000802 rcp45 2071-2100.tif","Tree future: Sitka Spruce","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000808 rcp45 2071-2100.tif","Tree future: Whitebark Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000809 rcp45 2071-2100.tif","Tree future: Rocky Mountain Bristlecone Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000815 rcp45 2071-2100.tif","Tree future: Pinyon Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000816 rcp45 2071-2100.tif","Tree future: Singleleaf Pinyon","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000817 rcp45 2071-2100.tif","Tree future: Lodgepole Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000821 rcp45 2071-2100.tif","Tree future: Shortleaf Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000822 rcp45 2071-2100.tif","Tree future: Limber Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000825 rcp45 2071-2100.tif","Tree future: Western White Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000835 rcp45 2071-2100.tif","Tree future: Ponderosa Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000837 rcp45 2071-2100.tif","Tree future: Red Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000838 rcp45 2071-2100.tif","Tree future: Pitch Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000839 rcp45 2071-2100.tif","Tree future: White Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000843 rcp45 2071-2100.tif","Tree future: Loblolly Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000845 rcp45 2071-2100.tif","Tree future: Virginia Pine","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000850 rcp45 2071-2100.tif","Tree future: American Sycamore","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000860 rcp45 2071-2100.tif","Tree future: Narrowleaf Balsam Poplar","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000861 rcp45 2071-2100.tif","Tree future: Balsam Poplar","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000866 rcp45 2071-2100.tif","Tree future: Largetooth Aspen","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000871 rcp45 2071-2100.tif","Tree future: Trembling Aspen","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000879 rcp45 2071-2100.tif","Tree future: American Plum","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000889 rcp45 2071-2100.tif","Tree future: Bitter Cherry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000897 rcp45 2071-2100.tif","Tree future: Canada Plum","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000899 rcp45 2071-2100.tif","Tree future: Pin Cherry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000902 rcp45 2071-2100.tif","Tree future: Black Cherry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000918 rcp45 2071-2100.tif","Tree future: Common Hoptree","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000939 rcp45 2071-2100.tif","Tree future: Eastern White Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000940 rcp45 2071-2100.tif","Tree future: Swamp White Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000942 rcp45 2071-2100.tif","Tree future: Scarlet Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000943 rcp45 2071-2100.tif","Tree future: Northern Pin Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000944 rcp45 2071-2100.tif","Tree future: Southern Red Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000950 rcp45 2071-2100.tif","Tree future: Swamp Post Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000951 rcp45 2071-2100.tif","Tree future: Bur Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000957 rcp45 2071-2100.tif","Tree future: Swamp Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000961 rcp45 2071-2100.tif","Tree future: Chestnut Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000963 rcp45 2071-2100.tif","Tree future: Red Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000964 rcp45 2071-2100.tif","Tree future: Shumard Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000965 rcp45 2071-2100.tif","Tree future: Post Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000967 rcp45 2071-2100.tif","Tree future: Black Oak","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000971 rcp45 2071-2100.tif","Tree future: Carolina Buckthorn","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000985 rcp45 2071-2100.tif","Tree future: Mountain Rosebay","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000999 rcp45 2071-2100.tif","Tree future: Pacific Rhododendron","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001000 rcp45 2071-2100.tif","Tree future: Great Rhododendron","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001024 rcp45 2071-2100.tif","Tree future: Dwarf Sumac","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001025 rcp45 2071-2100.tif","Tree future: Scarlet Sumac","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001027 rcp45 2071-2100.tif","Tree future: Staghorn Sumac","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001034 rcp45 2071-2100.tif","Tree future: Black Locust","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001060 rcp45 2071-2100.tif","Tree future: Feltleaf Willow","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001067 rcp45 2071-2100.tif","Tree future: Littletree Willow","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001069 rcp45 2071-2100.tif","Tree future: Beaked Willow","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001073 rcp45 2071-2100.tif","Tree future: Pussy Willow","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001077 rcp45 2071-2100.tif","Tree future: Narrowleaf Willow","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001082 rcp45 2071-2100.tif","Tree future: Coastal Willow","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001089 rcp45 2071-2100.tif","Tree future: Black Willow","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001090 rcp45 2071-2100.tif","Tree future: Thickleaf Willow","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001093 rcp45 2071-2100.tif","Tree future: Mackenzie's Willow","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001097 rcp45 2071-2100.tif","Tree future: Mountain Willow","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001103 rcp45 2071-2100.tif","Tree future: Common Elderberry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001116 rcp45 2071-2100.tif","Tree future: White Sassafrass","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001123 rcp45 2071-2100.tif","Tree future: Giant Sequoia","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001125 rcp45 2071-2100.tif","Tree future: Silver Buffaloberry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001136 rcp45 2071-2100.tif","Tree future: American Mountain Ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001141 rcp45 2071-2100.tif","Tree future: Showy Mountain Ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001144 rcp45 2071-2100.tif","Tree future: Sitka Mountain Ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001167 rcp45 2071-2100.tif","Tree future: American Bladdernut","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001171 rcp45 2071-2100.tif","Tree future: Silky Camellia","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1001173 rcp45 2071-2100.tif","Tree future: Mountain Camellia","Greens","continuous","","km2*","FALSE","missing"
